9;AdjSensorDetectionFBK;0
10;FktConfigEKAEventMsgMobileUsage;0
11;FktConfigEKAEventMsgSmoking;0
12;FktConfigEKAEventMsgHeadPosition;0
13;FktConfigEKAEventMsgAvertedEyes;0
14;FktConfigEKAEventMsgClosedEyes;0
15;FktConfigELAEventMsgMicrosleepUpcoming;0
16;FktConfigELAEventMsgMicrosleep;0
17;FktConfigELAEventMsgClosedEyes;0
18;FktConfigELAEventMsgYawn;0
19;ThresholdSysTimeSettingChanged;2000
20;DebounceTimeDMSignalBlindness;6000
21;DebounceTimeDMSignalUnknown;6000
22;DebounceTimeDMSignalNotAvailable;3000
23;EKAFactorDriverMonitoring;1
24;DTLLaneWidthScaling;0.4
25;EKAThresholdSmokingLevel3;150
26;EKAThresholdSmokingLevel2;100
27;EKAThresholdSmokingLevel1;30
28;EKAThresholdSmokingLevel0;30
29;EKAThresholdMobileUsageLevel3;150
30;EKAThresholdMobileUsageLevel2;100
31;EKAThresholdMobileUsageLevel1;20
32;EKAThresholdMobileUsageLevel0;20
33;EKAThresholdHeadPositionLevel3;90
34;EKAThresholdHeadPositionLevel2;60
35;EKAThresholdHeadPositionLevel1;30
36;EKAThresholdHeadPositionLevel0;30
37;EKAThresholdClosedEyesLevel3;90
38;EKAThresholdClosedEyesLevel2;60
39;EKAThresholdClosedEyesLevel1;30
40;EKAThresholdClosedEyesLevel0;10
41;EKAThresholdAvertedEyesSumLevel3;200
42;EKAThresholdAvertedEyesSumLevel2;150
43;EKAThresholdAvertedEyesSumLevel1;100
44;EKAThresholdAvertedEyesLevel3;90
45;EKAThresholdAvertedEyesLevel2;60
46;EKAThresholdAvertedEyesLevel1;30
47;EKAThresholdAvertedEyesLevel0;10
48;EKAPotentialClosedEyes;1
49;EKAPotentialAvertedEyes;1
50;EKAHoldTimeClosedEyes;0
51;EKAHoldTimeAvertedEyes;0
52;EKADeadTimeSmoking;0
53;EKADeadTimeMobileUsage;0
54;EKADeadTimeHeadPosition;0
55;EKADeadTimeClosedEyes;0
56;EKADeadTimeAvertedEyesSum;0
57;EKADeadTimeAvertedEyes;0
58;EKAThresholdQualitySmokingEMADeactiv;60
59;EKAThresholdQualitySmokingDeactiv;40
60;EKAThresholdQualitySmokingActiv;80
61;EKAThresholdQualityMobileUsageEMADeactiv;60
62;EKAThresholdQualityMobileUsageDeactiv;40
63;EKAThresholdQualityMobileUsageActiv;80
64;EKAQualitySmokingEMADecay;0.5
65;EKAQualityMobileUsageEMADecay;0.5
66;ELADelayTimeEventMsg;10
67;ELADelayTimeClosedEyes;10
68;ELADelayTimeMicrosleep;10
69;ELADeadTimeClosedEyes;5
70;ELADeadTimeMicrosleepUpcoming;5
71;ELADeadTimeMicrosleep;5
72;ELADeadTimeYawn;5
73;ELAQualityYawnEMADecay;0.5
74;ELAThresholdQualityMicrosleepUpcomingDeactiv;40
75;ELAThresholdQualityMicrosleepUpcomingActiv;80
76;ELAThresholdQualityMicrosleepDeactiv;40
77;ELAThresholdQualityMicrosleepActiv;80
78;ELAThresholdQualityYawnDeactiv;40
79;ELAThresholdQualityYawnEMADeactiv;60
80;ELAThresholdQualityYawnActiv;80
81;ELAEventMsgThresholdSpeedDeactiv;65
82;ELAEventMsgThresholdSpeedActiv;70
83;ELAThresholdClosedEyesLevel;30
84;ELAThresholdYawnLevel;30
85;EKAMsgDurationSuppression;100
87;HoldTimeKickdown;0
88;DeadTimeKickdown;0
89;DTLIntensityDecrease;0.02
90;PotentialKickdown;-3
91;StatusAdj;2
92;DiagRoutineSensorDetectionReset;0
93;DiagRoutineELAStatusDisplayCascade;0
94;DiagRoutineEKAStatusDisplayCascade;0
95;SensorDetectionSettingMFK;0
96;RestAreaNavSetting;2
97;RestAreaNavHMISettings;1
98;AdaFunctionReset;0
99;EKASensitivitySetting;1
